track,outer_fold_id,metric,lambda,alpha_code_parameter,simulated_training,inner_validation_count,mean_inner_smape_percent,std_inner_smape_percent,mean_inner_absolute_log_error,selected_lambda,selection_status,boundary_hit,boundary_side,min_required_inner_validations
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0003162278,0.0003162278,False,2,9.2458283528,1.1426985236,0.0925257489,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0005623413,0.0005623413,False,2,9.2476727677,1.1427939632,0.0925442332,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0010000000,0.0010000000,False,2,9.2509522264,1.1429635839,0.0925770990,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0017782794,0.0017782794,False,2,9.2567826732,1.1432649088,0.0926355304,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0031622777,0.0031622777,False,2,9.2671465785,1.1437997750,0.0927393953,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0056234133,0.0056234133,False,2,9.2855630442,1.1447478427,0.0929239626,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0100000000,0.0100000000,False,2,9.3182701895,1.1464240779,0.0932517530,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0177827941,0.0177827941,False,2,9.3762986878,1.1493743879,0.0938333259,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0316227766,0.0316227766,False,2,9.4790681134,1.1545252373,0.0948633401,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0562341325,0.0562341325,False,2,9.6604998628,1.1633871405,0.0966818768,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.1000000000,0.1000000000,False,2,9.9790238322,1.1782300403,0.0998749126,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.1778279410,0.1778279410,False,2,10.5327984727,1.2018655327,0.1054274351,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.3162277660,0.3162277660,False,2,11.4794507636,1.2358869164,0.1149230251,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.5623413252,0.5623413252,False,2,13.0520132402,1.2745930589,0.1307085703,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,1.0000000000,1.0000000000,False,2,15.5443579942,1.2903715928,0.1557609889,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,1.7782794100,1.7782794100,False,2,19.2155185491,1.2118374505,0.1927533307,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,3.1622776602,3.1622776602,False,2,24.0811773586,0.9211663208,0.2419883615,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,5.6234132519,5.6234132519,False,2,29.7040125850,0.3214251037,0.2992539539,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,10.0000000000,10.0000000000,False,2,35.2611709125,0.5471043215,0.3563363021,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,17.7827941004,17.7827941004,False,2,39.9660094390,1.4944130477,0.4051231569,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,31.6227766017,31.6227766017,False,2,43.4534279653,2.3205365300,0.4416043342,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,56.2341325190,56.2341325190,False,2,45.7909101676,2.9326851390,0.4662266413,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,100.0000000000,100.0000000000,False,2,47.2533459449,3.3393239216,0.4817067064,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,177.8279410039,177.8279410039,False,2,48.1290983830,3.5914973662,0.4910057918,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,316.2277660168,316.2277660168,False,2,48.6397984333,3.7415394029,0.4964389915,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,562.3413251903,562.3413251903,False,2,48.9330126098,3.8286765849,0.4995619371,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,1000.0000000000,1000.0000000000,False,2,49.0998537628,3.8785808669,0.5013400753,0.1000000000,fallback_insufficient_inner_validations,False,none,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0001000000,0.0001000000,False,3,10.7149453464,2.6724504134,0.1072653525,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0001778279,0.0001778279,False,3,10.7155306921,2.6724602102,0.1072712236,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0003162278,0.0003162278,False,3,10.7165715621,2.6724776371,0.1072816637,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0005623413,0.0005623413,False,3,10.7184223985,2.6725086438,0.1073002279,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0010000000,0.0010000000,False,3,10.7217133197,2.6725638359,0.1073332364,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0017782794,0.0017782794,False,3,10.7275642855,2.6726621520,0.1073919228,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0031622777,0.0031622777,False,3,10.7379651082,2.6728375193,0.1074962456,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0056234133,0.0056234133,False,3,10.7564485775,2.6731510559,0.1076816408,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0100000000,0.0100000000,False,3,10.7892791439,2.6737139179,0.1080109467,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0177827941,0.0177827941,False,3,10.8475405564,2.6747315099,0.1085953505,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0316227766,0.0316227766,False,3,10.9507662915,2.6765931414,0.1096308253,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0562341325,0.0562341325,False,3,11.1331406431,2.6800648169,0.1114604001,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.1000000000,0.1000000000,False,3,11.4537443176,2.6867293397,0.1146771510,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.1778279410,0.1778279410,False,3,12.0124324001,2.7000351955,0.1202841593,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.3162277660,0.3162277660,False,3,12.9713460465,2.7278128309,0.1299123949,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.5623413252,0.5623413252,False,3,14.5752709360,2.7880523232,0.1460310479,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,1.0000000000,1.0000000000,False,3,17.1463981404,2.9209805398,0.1719111633,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,1.7782794100,1.7782794100,False,3,21.0020497613,3.2108186369,0.2108353088,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,3.1622776602,3.1622776602,False,3,26.2478604483,3.8089133002,0.2640687726,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,5.6234132519,5.6234132519,False,3,32.5229859356,4.8878921124,0.3282840368,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,10.0000000000,10.0000000000,False,3,38.9772203734,6.4480021989,0.3951251702,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,17.7827941004,17.7827941004,False,3,44.6628290326,8.2034735365,0.4548610312,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,31.6227766017,31.6227766017,False,3,49.0231051804,9.7855177551,0.5013445420,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,56.2341325190,56.2341325190,False,3,52.0213366353,10.9888563085,0.5337080405,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,100.0000000000,100.0000000000,False,3,53.9299941274,11.8028994313,0.5545018897,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
