metric,lambda,alpha_code_parameter,simulated_training,inner_validation_count,mean_inner_smape_percent,std_inner_smape_percent,mean_inner_absolute_log_error,selected_lambda,selection_status,boundary_hit,boundary_side,min_required_inner_validations,selection_track,selected_for_forecast
tourist_visits,0.0031622777,0.0031622777,True,7,11.9095962093,14.6870701693,0.1202157932,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,0.0056234133,0.0056234133,True,7,11.9180946001,14.6755369260,0.1202995330,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,0.0100000000,0.0100000000,True,7,11.9331944639,14.6550548625,0.1204483267,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,0.0177827941,0.0177827941,True,7,11.9600063069,14.6187179795,0.1207125481,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,0.0316227766,0.0316227766,True,7,12.0075593512,14.5543711220,0.1211812232,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,0.0562341325,0.0562341325,True,7,12.0917259215,14.4407906596,0.1220109312,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,0.1000000000,0.1000000000,True,7,12.2401570370,14.2414423457,0.1234746964,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,0.1778279410,0.1778279410,True,7,12.5002513290,13.8950083967,0.1260412757,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,0.3162277660,0.3162277660,True,7,12.9509298071,13.3031211601,0.1304933136,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,0.5623413252,0.5623413252,True,7,13.7168268954,12.3203332895,0.1380725593,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,1.0000000000,1.0000000000,True,7,14.9762651438,10.7622251139,0.1505698943,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,1.7782794100,1.7782794100,True,7,16.9387535867,8.4640270588,0.1701212449,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,3.1622776602,3.1622776602,True,7,19.7531924107,5.4525124188,0.1983142471,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,5.6234132519,5.6234132519,True,7,23.3418076276,2.8119842799,0.2345249936,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,10.0000000000,10.0000000000,True,7,27.2829731553,4.7839677486,0.2746726958,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,17.7827941004,17.7827941004,True,7,30.9446820618,8.8829612213,0.3124220012,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,31.6227766017,31.6227766017,True,7,33.8341165087,12.7784026341,0.3426260814,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,56.2341325190,56.2341325190,True,7,35.8220838615,15.9331165936,0.3637085975,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,100.0000000000,100.0000000000,True,7,37.7040207958,16.6164651155,0.3834541653,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,177.8279410039,177.8279410039,True,7,39.1649349648,16.3335283958,0.3986958797,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,316.2277660168,316.2277660168,True,7,40.0511774925,16.1409435171,0.4079583991,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,562.3413251903,562.3413251903,True,7,40.5726468648,16.0198257783,0.4134142225,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,1000.0000000000,1000.0000000000,True,7,40.8737478402,15.9471899809,0.4165663778,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourist_visits,0.0000000000,0.0000000000,False,7,11.7939172456,14.4295312910,0.1190065360,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0000010000,0.0000010000,False,7,11.7939210699,14.4295275567,0.1190065740,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0000100000,0.0000100000,False,7,11.7939554887,14.4294939476,0.1190069154,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0001000000,0.0001000000,False,7,11.7942996709,14.4291578612,0.1190103301,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0001778279,0.0001778279,False,7,11.7945972963,14.4288672344,0.1190132828,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0003162278,0.0003162278,False,7,11.7951265391,14.4283504314,0.1190185335,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0005623413,0.0005623413,False,7,11.7960676233,14.4274314514,0.1190278700,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0010000000,0.0010000000,False,7,11.7977409524,14.4257973751,0.1190444712,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0017782794,0.0017782794,False,7,11.8007160248,14.4228919324,0.1190739871,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0031622777,0.0031622777,False,7,11.8060047196,14.4177265123,0.1191264568,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0056234133,0.0056234133,False,7,11.8154037614,14.4085449620,0.1192197061,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0100000000,0.0100000000,False,7,11.8320997715,14.3922302662,0.1193853513,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0177827941,0.0177827941,False,7,11.8617328055,14.3632581498,0.1196793528,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0316227766,0.0316227766,False,7,11.9142487128,14.3118635726,0.1202004001,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.0562341325,0.0562341325,False,7,12.0070720814,14.2208653583,0.1211214151,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
