track,branch,model,macro_smape_percent,macro_naive_smape_percent,macro_smape_skill_vs_naive,worst_target,worst_target_smape_percent,worst_point_smape_percent,worst_absolute_percentage_error_percent,mean_target_smape_std_percent,beats_naive_all_targets,target_count,total_test_points,complete_target_coverage,rank,tie_group_size,stability_flag,baseline_macro_smape_percent,delta_macro_smape_vs_baseline_percent_points
cross_regime_stress_2019_cutoff,ridge,raw_target_ridge_alpha_0.1,40.2425457658,44.9618485079,0.1049623825,tourist_visits,43.9389020124,60.6885387784,87.1264119207,12.0711746295,True,2,3,True,1,1,unique,40.2425457658,0.0000000000
cross_regime_stress_2019_cutoff,ridge,raw_target_ridge_tuned_lambda,40.8281809882,44.9618485079,0.0919372236,tourist_visits,44.6751648939,60.8368135329,87.4323376423,11.9278082252,True,2,3,True,2,1,unique,40.2425457658,0.5856352223
cross_regime_stress_2019_cutoff,ridge,naive_last,44.9618485079,44.9618485079,0.0000000000,tourist_visits,47.8801135051,54.1720154044,74.2957746479,6.0642159468,False,2,3,True,3,1,unique,40.2425457658,4.7193027421
