track,outer_fold_id,metric,lambda,alpha_code_parameter,validation_year,inner_physical_train_n,inner_effective_train_n,inner_train_end_year,actual,prediction,smape_percent,absolute_log_error,simulated_training
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0005623413,0.0005623413,2023,10,13,2019,2363.0000000000,3722.1751173689,44.6716845827,0.4543762082,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0010000000,0.0010000000,2014,4,4,2013,1553.4000000000,1446.9128717821,7.0984015847,0.0710138442,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0010000000,0.0010000000,2015,5,5,2014,1818.7200000000,1671.4635872825,8.4383190187,0.0844333148,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0010000000,0.0010000000,2016,6,6,2015,2086.0000000000,1930.2806676665,7.7544048944,0.0775829406,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0010000000,0.0010000000,2017,7,7,2016,2392.0000000000,2200.9380643582,8.3198132857,0.0832461737,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0010000000,0.0010000000,2018,8,8,2017,2660.0000000000,2494.8208840859,6.4087237803,0.0641091861,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0010000000,0.0010000000,2019,9,9,2018,2800.0000000000,2782.5037183523,0.6268256155,0.0062682767,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0010000000,0.0010000000,2023,10,13,2019,2363.0000000000,3722.0460786913,44.6683907111,0.4543415400,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0017782794,0.0017782794,2014,4,4,2013,1553.4000000000,1446.8450918169,7.1030802433,0.0710606898,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0017782794,0.0017782794,2015,5,5,2014,1818.7200000000,1671.3885779272,8.4427987716,0.0844781922,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0017782794,0.0017782794,2016,6,6,2015,2086.0000000000,1930.1981952703,7.7586711190,0.0776256671,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0017782794,0.0017782794,2017,7,7,2016,2392.0000000000,2200.8498577331,8.3238141105,0.0832862513,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0017782794,0.0017782794,2018,8,8,2017,2660.0000000000,2494.7270876444,6.4124796345,0.0641467833,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0017782794,0.0017782794,2019,9,9,2018,2800.0000000000,2782.4063199455,0.6303260295,0.0063032812,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0017782794,0.0017782794,2023,10,13,2019,2363.0000000000,3721.8166854956,44.6625348216,0.4542799072,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0031622777,0.0031622777,2014,4,4,2013,1553.4000000000,1446.7246252048,7.1113962333,0.0711439549,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0031622777,0.0031622777,2015,5,5,2014,1818.7200000000,1671.2552479828,8.4507620564,0.0845579674,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0031622777,0.0031622777,2016,6,6,2015,2086.0000000000,1930.0515891314,7.7662553584,0.0777016239,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0031622777,0.0031622777,2017,7,7,2016,2392.0000000000,2200.6930501385,8.3309268777,0.0833575025,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0031622777,0.0031622777,2018,8,8,2017,2660.0000000000,2494.5603364283,6.4191571259,0.0642136270,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0031622777,0.0031622777,2019,9,9,2018,2800.0000000000,2782.2331599618,0.6365495503,0.0063655170,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0031622777,0.0031622777,2023,10,13,2019,2363.0000000000,3721.4089929594,44.6521262634,0.4541703599,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0056234133,0.0056234133,2014,4,4,2013,1553.4000000000,1446.5106075491,7.1261718387,0.0712918983,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0056234133,0.0056234133,2015,5,5,2014,1818.7200000000,1671.0183322176,8.4649136251,0.0846997366,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0056234133,0.0056234133,2016,6,6,2015,2086.0000000000,1929.7910493721,7.7797349866,0.0778366241,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0056234133,0.0056234133,2017,7,7,2016,2392.0000000000,2200.4143554710,8.3435696215,0.0834841501,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0056234133,0.0056234133,2018,8,8,2017,2660.0000000000,2494.2639485990,6.4310269344,0.0643324477,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0056234133,0.0056234133,2019,9,9,2018,2800.0000000000,2781.9253646037,0.6476129370,0.0064761520,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0056234133,0.0056234133,2023,10,13,2019,2363.0000000000,3720.6847364920,44.6336322574,0.4539757221,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0100000000,0.0100000000,2014,4,4,2013,1553.4000000000,1446.1306733167,7.1524073841,0.0715545885,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0100000000,0.0100000000,2015,5,5,2014,1818.7200000000,1670.5976047904,8.4900494587,0.0849515474,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0100000000,0.0100000000,2016,6,6,2015,2086.0000000000,1929.3282640044,7.8036825731,0.0780764640,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0100000000,0.0100000000,2017,7,7,2016,2392.0000000000,2199.9192418993,8.3660338077,0.0837091846,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0100000000,0.0100000000,2018,8,8,2017,2660.0000000000,2493.7373381487,6.4521201195,0.0645435986,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0100000000,0.0100000000,2019,9,9,2018,2800.0000000000,2781.3784338389,0.6672748097,0.0066727729,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0100000000,0.0100000000,2023,10,13,2019,2363.0000000000,3719.3991242997,44.6007930943,0.4536301313,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0177827941,0.0177827941,2014,4,4,2013,1553.4000000000,1445.4570888121,7.1989366609,0.0720204810,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0177827941,0.0177827941,2015,5,5,2014,1818.7200000000,1669.8512468803,8.5346545955,0.0853984082,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0177827941,0.0177827941,2016,6,6,2015,2086.0000000000,1928.5069651696,7.8461956199,0.0785022462,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0177827941,0.0177827941,2017,7,7,2016,2392.0000000000,2199.0403171438,8.4059241273,0.0841087904,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0177827941,0.0177827941,2018,8,8,2017,2660.0000000000,2492.8022978186,6.4895834351,0.0649186243,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0177827941,0.0177827941,2019,9,9,2018,2800.0000000000,2780.4071495480,0.7022014676,0.0070220435,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0177827941,0.0177827941,2023,10,13,2019,2363.0000000000,3717.1202471249,44.5425482420,0.4530172432,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0316227766,0.0316227766,2014,4,4,2013,1553.4000000000,1444.2656916249,7.2812861474,0.0728450565,True
