metric,five_year_total_2021_2025,known_annual_values_sum,known_years,model_2025,residual_for_other_missing_years,other_missing_years
tourist_visits,10500.000000,5006.000000,2023;2024,3056.806267,2437.193733,2021;2022
tourism_comprehensive_income,792.500000,522.500000,2021;2023;2024,265.266272,4.733728,2022
