data_scope,metric,model,year,actual,prediction,error,absolute_error,point_smape_percent,lambda,tuning_status,inner_validation_count,training_start_year,training_end_year,training_n,uses_test_in_training,original_mixed_point_smape_percent,smape_improvement_vs_original_pp,interpretation
harmonized_bridge,jizhou_gdp,ridge_fixed_lambda_0.1,2019,219.6200000000,243.8706992589,24.2506992589,24.2506992589,10.4643736315,0.1000000000,fixed_not_tuned,0,2010,2018,9,False,65.3305636453,54.8661900138,2019 actual is unchanged in both scopes; only the pre-2019 training levels differ
original_mixed,jizhou_gdp,ridge_fixed_lambda_0.1,2019,219.6200000000,432.7032173382,213.0832173382,213.0832173382,65.3305636453,0.1000000000,fixed_not_tuned,0,2010,2018,9,False,65.3305636453,0.0000000000,2019 actual is unchanged in both scopes; only the pre-2019 training levels differ
harmonized_bridge,jizhou_gdp,ridge_nested_tuned,2019,219.6200000000,234.6530498659,15.0330498659,15.0330498659,6.6185083488,1.7782794100,selected_by_nested_expanding_origin_smape,5,2010,2018,9,False,61.8673098435,55.2488014947,2019 actual is unchanged in both scopes; only the pre-2019 training levels differ
original_mixed,jizhou_gdp,ridge_nested_tuned,2019,219.6200000000,416.3482121623,196.7282121623,196.7282121623,61.8673098435,1.7782794100,selected_by_nested_expanding_origin_smape,5,2010,2018,9,False,61.8673098435,0.0000000000,2019 actual is unchanged in both scopes; only the pre-2019 training levels differ
harmonized_bridge,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,2019,136.9100000000,144.5743533659,7.6643533659,7.6643533659,5.4456691992,0.1000000000,fixed_not_tuned,0,2010,2018,9,False,61.4392940811,55.9936248819,2019 actual is unchanged in both scopes; only the pre-2019 training levels differ
original_mixed,jizhou_tertiary_value_added,ridge_fixed_lambda_0.1,2019,136.9100000000,258.3247069597,121.4147069597,121.4147069597,61.4392940811,0.1000000000,fixed_not_tuned,0,2010,2018,9,False,61.4392940811,0.0000000000,2019 actual is unchanged in both scopes; only the pre-2019 training levels differ
harmonized_bridge,jizhou_tertiary_value_added,ridge_nested_tuned,2019,136.9100000000,135.6824695675,-1.2275304325,1.2275304325,0.9006341477,3.1622776602,selected_by_nested_expanding_origin_smape,5,2010,2018,9,False,55.6360317582,54.7353976105,2019 actual is unchanged in both scopes; only the pre-2019 training levels differ
original_mixed,jizhou_tertiary_value_added,ridge_nested_tuned,2019,136.9100000000,242.4367349711,105.5267349711,105.5267349711,55.6360317582,3.1622776602,selected_by_nested_expanding_origin_smape,5,2010,2018,9,False,55.6360317582,0.0000000000,2019 actual is unchanged in both scopes; only the pre-2019 training levels differ
