data_scope,metric,selected_lambda,selection_status,boundary_hit,boundary_side,inner_validation_count,mean_inner_smape_percent,training_min_year,training_max_year,training_n,uses_2024_for_selection,uses_2025_for_selection
harmonized_bridge,jizhou_gdp,1.7782794100,selected_by_nested_expanding_origin_smape,False,none,10,7.5502566928,2010,2023,14,False,False
harmonized_bridge,jizhou_tertiary_value_added,1.7782794100,selected_by_nested_expanding_origin_smape,False,none,10,7.1907392694,2010,2023,14,False,False
original_mixed,jizhou_gdp,5.6234132519,selected_by_nested_expanding_origin_smape,False,none,10,15.8074022673,2010,2023,14,False,False
original_mixed,jizhou_tertiary_value_added,5.6234132519,selected_by_nested_expanding_origin_smape,False,none,10,15.9344571232,2010,2023,14,False,False
